Wall time,Step,Value
1709659435.587946,0,2304.51611328125
1709659479.205766,0,2303.5751953125
1709660133.1645172,0,2303.22607421875
1709660238.065463,1,1082.275634765625
1709660341.788403,2,934.7662963867188
1709660444.9348638,3,789.7930297851562
1709660547.147847,4,882.244140625
1709660649.5384982,5,677.1143798828125
1709660752.613472,6,682.8875122070312
1709660855.326185,7,744.3905029296875
1709660957.168536,8,733.7568359375
1709661059.7965498,9,773.5388793945312
1709661163.0021498,10,806.4383544921875
1709661266.5431209,11,770.5802001953125
1709661369.394709,12,840.1044921875
1709661471.423367,13,910.4949951171875
1709661573.1969779,14,875.97216796875
1709661676.7758222,15,936.7579956054688
1709661780.78219,16,886.5924682617188
1709661884.509303,17,918.2843017578125
1709661988.447366,18,1013.32421875
1709662091.3889651,19,882.8302001953125
1709662193.87996,20,899.0577392578125
1709662295.648221,21,924.8292236328125
1709662397.402823,22,983.5172119140625
1709662499.147524,23,964.8031005859375
1709662600.904643,24,924.59521484375
1709662703.516317,25,967.1316528320312
1709662805.472695,26,947.4166870117188
1709662907.230426,27,1065.542236328125
1709663008.957061,28,1032.8115234375
1709663110.714139,29,1009.6588745117188
1709663212.47236,30,894.9100341796875
1709663314.720566,31,953.6375122070312
1709663416.4857001,32,978.1892700195312
1709663518.255872,33,995.5546875
1709663620.019089,34,969.0309448242188
1709663721.855974,35,937.1082153320312
1709663823.953505,36,1187.974853515625
1709663925.694609,37,979.9658203125
1709664027.453402,38,949.6025390625
1709664129.210378,39,1008.0938720703125
1709664230.913635,40,949.669921875
1709664332.776632,41,1026.493896484375
1709664434.681824,42,1077.188720703125
1709664537.252388,43,1135.93603515625
1709664639.81108,44,1137.3726806640625
1709664741.6431842,45,1032.479248046875
1709664843.57183,46,1044.5146484375
1709664945.558429,47,1005.4117431640625
1709665047.424937,48,1140.15869140625
1709665149.298878,49,1069.382568359375
1709665251.6344068,50,1149.043701171875
1709665353.872828,51,1026.2603759765625
1709665455.798628,52,1076.029296875
1709665557.7532532,53,1158.8790283203125
1709665659.6064682,54,1070.165771484375
1709665761.477139,55,1002.6959838867188
1709665863.254785,56,1049.1451416015625
1709665965.0110662,57,1105.334716796875
1709666066.7740679,58,1095.6148681640625
1709666168.536802,59,1110.47119140625
1709666270.29936,60,1100.8189697265625
1709666372.046436,61,1247.5897216796875
1709666473.806369,62,1019.3421020507812
1709666575.555955,63,1087.651123046875
1709666677.3270001,64,1020.5607299804688
1709666779.198905,65,1037.3333740234375
